"bill_id","session_id","bill_number","status","status_desc","status_date","title","description","committee_id","committee","last_action_date","last_action","url","state_link"
1832033,2002,"SB2316",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 8, Chapter 10, relative to constables.","As enacted, deletes provisions that exempt persons in Fentress County from meeting certain qualifications to qualify for election or appointment to the office of constable. - Amends TCA Title 8, Chapter 10.",0,"","4/8/2024","Effective date(s) 04/03/2024","https://legiscan.com/TN/bill/SB2316/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2316&ga=113"
1832103,2002,"HB2443",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 18, Chapter 6, relative to office qualifications.","As enacted, requires a person seeking to qualify for election to the office of county clerk to be a qualified voter of the county and a resident of the county for one year prior to the date of the qualifying deadline for running as a candidate for county clerk. - Amends TCA Title 18, Chapter 6.",0,"","4/8/2024","Comp. became Pub. Ch. 647","https://legiscan.com/TN/bill/HB2443/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2443&ga=113"
1832111,2002,"SB2356",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 55, Chapter 50, Part 3, relative to driver education and training for noncommercial driver licenses.","As introduced, requires the department of safety to ensure that any classroom training that is required as a prerequisite to obtaining a Class H or hardship license may be completed online. - Amends TCA Title 55, Chapter 50, Part 3.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2356/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2356&ga=113"
1832126,2002,"SB2311",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 68, Chapter 120, Part 5, relative to the Tennessee Equitable Restrooms Act.","As introduced, removes the requirement that the state building commission set a ratio for water closets at publicly and privately owned facilities where the public congregates, including certain football stadiums in Davidson County. - Amends TCA Title 68, Chapter 120, Part 5.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2311/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2311&ga=113"
1832230,2002,"SB2432",4,"Passed","4/9/2024","AN ACT to amend Tennessee Code Annotated, Title 5, Chapter 14, Part 2 and Title 12, Chapter 3, Part 12, relative to fuel product purchases.","As introduced, authorizes a local governmental entity to purchase fuel and fuel products in the open market without public advertisement or competitive bidding, but requires the entity, whenever possible, to obtain at least three documented quotes; permits such purchases from the department of general services' contract where available. - Amends TCA Title 5, Chapter 14, Part 2 and Title 12, Chapter 3, Part 12.",0,"","4/9/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2432/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2432&ga=113"
1832276,2002,"HB2588",4,"Passed","3/19/2024","AN ACT to amend Tennessee Code Annotated, Section 8-35-226, relative to retirement.","As enacted, under certain conditions, authorizes a member of the Tennessee consolidated retirement system who has been elected or appointed as a member of a city or county board on or after January 1, 2012, and who simultaneously holds that position and another position with a different employer as a retirement system member, to continue service in the elected or appointed board member position while receiving a retirement allowance. - Amends TCA Section 8-35-226.",0,"","3/19/2024","Effective date(s) 03/07/2024","https://legiscan.com/TN/bill/HB2588/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2588&ga=113"
1832277,2002,"SB2484",4,"Passed","4/3/2024","AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 3, Part 27 and Title 33, Chapter 5, relative to adult-sized changing tables.","As enacted, requires the department to issue grants, subject to appropriations, to support the installation of powered, height-adjustable, adult-sized changing tables in single occupancy family restrooms in privately and municipally owned buildings open to the public across this state; authorizes the commissioner to create and convene an ad hoc committee to advise and assist with grant applications. - Amends TCA Title 4, Chapter 3, Part 27 and Title 33, Chapter 5.",0,"","4/3/2024","Effective date(s) 03/27/2024","https://legiscan.com/TN/bill/SB2484/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2484&ga=113"
1832348,2002,"SB2399",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 8; Title 33 and Title 63, Chapter 22, relative to therapists.","As introduced, requires the board for professional counselors, marital and family therapists, and clinical pastoral therapists to license without examination a marital and family therapist applicant who is licensed in another state if the applicant's qualifications meet the licensure requirements of this state; removes the board's authorization to license an applicant by endorsement. - Amends TCA Title 8; Title 33 and Title 63, Chapter 22.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2399/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2399&ga=113"
1832357,2002,"SB2428",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 5; Title 6; Title 12; Title 58 and Title 68, relative to county fire services.","As introduced, requires a county fire investigator who makes an arrest pursuant to an arson investigation to notify local law enforcement of the arrest as soon as practicable. - Amends TCA Title 5; Title 6; Title 12; Title 58 and Title 68.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2428/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2428&ga=113"
1832409,2002,"SB2422",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 6, Chapter 51, Part 1 and Title 13, Chapter 7, relative to municipal government.","As introduced, requires notices relating to annexation or municipal zoning to be published, posted, or mailed 21 days, rather than 15 days, prior to the public hearing on the annexation or zoning; requires the annexing municipality to provide notice of annexation to property owners whose property is within 200 feet of the territory being annexed; requires signs that inform viewers of the proposed annexation to be posted in and around the area being annexed. - Amends TCA Title 6, Chapter 51, Part 1 and Title 13, Chapter 7.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2422/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2422&ga=113"
