"","Post","Date","Url","Author","Full.Text"
"1709","NPR review","2024-04-24 22:45:04.0","http://twitter.com/AdisaJim92834/statuses/1783265934259486968","AdisaJim92834","@taylorswift13 @annkpowers @nprmusic Travel; https://t.co/VVsxLeilM5"
"1710","NPR review","2024-04-24 22:44:56.0","http://twitter.com/AdisaJim92834/statuses/1783265898893078801","AdisaJim92834","@taylorswift13 @annkpowers @nprmusic Travel: https://t.co/VVsxLeilM5"
"1711","NPR review","2024-04-24 22:37:48.0","http://twitter.com/xxtaketomyxx/statuses/1783264103659610473","xxtaketomyxx","@taylorswift13 @annkpowers @nprmusic WoW 😲✨😲✨"
"1712","NPR review","2024-04-24 22:37:36.0","http://twitter.com/Verber555/statuses/1783264052443021376","Verber555","@taylorswift13 @annkpowers @nprmusic https://t.co/icXghX2piZ Click the above link to get started 📊 (1)📌Create demo account (2)📌Put your email (3)📌Check your email messages to verify (4)📌It's gonna direct you to deriv binary (5)📌Shift from demo to real and fill in your details in the gaps"
"1713","NPR review","2024-04-24 22:35:20.0","http://twitter.com/watchedithappen/statuses/1783263482080849929","watchedithappen","SHE RAN OUT OF HAPPY LYRICS LMFAOOOOO"
"1714","NPR review","2024-04-24 22:33:45.0","http://twitter.com/barrentine76722/statuses/1783263086322815093","barrentine76722","@taylorswift13 @annkpowers @nprmusic Every. Single. Day. Sweat in my eyes. If I get tickets again for the eras tour I refuse to be tired halfway through. https://t.co/H3GjEiwwrq"
"1715","NPR review","2024-04-24 22:32:15.0","http://twitter.com/plasticoffdsofa/statuses/1783262709112606985","plasticoffdsofa","where is the tweet for pitchfork"
"1716","NPR review","2024-04-24 22:31:23.0","http://twitter.com/TSisBEYtryin134/statuses/1783262490400637330","TSisBEYtryin134","the good kind of crying was me at eras during long live"
"1717","NPR review","2024-04-24 22:28:58.0","http://twitter.com/TMR4762/statuses/1783261880343278050","TMR4762","@taylorswift13 @annkpowers @nprmusic If I was a man I would've already gone!"
"1718","NPR review","2024-04-24 22:28:43.0","http://twitter.com/Stephanisters/statuses/1783261817118101866","Stephanisters","you know you shit when you have to do shit like this"
"1719","NPR review","2024-04-24 22:23:49.0","http://twitter.com/TylaSwift22/statuses/1783260586387574835","TylaSwift22","@taylorswift13 @annkpowers @nprmusic I love how Taylor only consumes media that has been filtered and analyzed, her dad dead ass reads everything about her before she gets to see it and if it might badly affect her they don't send it to her"
"1720","NPR review","2024-04-24 22:16:03.0","http://twitter.com/theglasscloset/statuses/1783258629820543184","theglasscloset","be serious no one's crying happy tears at the gym"
"1721","NPR review","2024-04-24 22:08:39.0","http://twitter.com/MelissaBeen/statuses/1783256770154045848","MelissaBeen","@taylorswift13 @annkpowers @nprmusic #Whoseafraidoflittleoldme is my cuttent situation @Spotify INCREDIBLE!!!!!!! TY Tay"
"1722","NPR review","2024-04-24 22:07:35.0","http://twitter.com/TMR4762/statuses/1783256501542637907","TMR4762","@taylorswift13 @annkpowers @nprmusic Gotta get back there myself*"
"1723","NPR review","2024-04-24 22:06:00.0","http://twitter.com/schatzitaoqi/statuses/1783256101263233056","schatzitaoqi","@taylorswift13 @annkpowers @nprmusic Do you even know there is also bad reviews?"
"1724","NPR review","2024-04-24 22:05:29.0","http://twitter.com/milasagna/statuses/1783255970891923651","milasagna","the good kind 😭😭😭😭 comedy channel"
"1725","NPR review","2024-04-24 22:04:22.0","http://twitter.com/DackPanama/statuses/1783255691014127912","DackPanama","@taylorswift13 @annkpowers @nprmusic I was down bad crying at work while listening to this so it applies to all 😅"
"1726","NPR review","2024-04-24 22:01:42.0","http://twitter.com/pllhoax/statuses/1783255020462309614","pllhoax","(the good kind)"
"1727","NPR review","2024-04-24 21:53:15.0","http://twitter.com/s63_sharon/statuses/1783252892989706503","s63_sharon","@taylorswift13 @annkpowers @nprmusic Just bought this for my granddaughter today Taylor! 🥰 https://t.co/4qjtLnrlIm"
"1728","NPR review","2024-04-24 21:52:52.0","http://twitter.com/samiya_rafeeq_/statuses/1783252797485424670","samiya_rafeeq_","@taylorswift13 @annkpowers @nprmusic Oh ho nice one"
"1729","NPR review","2024-04-24 21:44:35.0","http://twitter.com/zgrBaz531652/statuses/1783250709900677403","zgrBaz531652","@taylorswift13 @annkpowers @nprmusic @mogulofficial_ listening binance coin"
"1730","NPR review","2024-04-24 21:41:26.0","http://twitter.com/MilitantMarch/statuses/1783249919169769705","MilitantMarch","@taylorswift13 @annkpowers @nprmusic I just blocked you Taylor, please stop harassing everyone."
"1731","NPR review","2024-04-24 21:40:45.0","http://twitter.com/MilitantMarch/statuses/1783249746486002115","MilitantMarch","@taylorswift13 @annkpowers @nprmusic My review: boring"
"1732","NPR review","2024-04-24 21:36:40.0","http://twitter.com/ImChaos_Revelry/statuses/1783248720634531913","ImChaos_Revelry","@taylorswift13 @annkpowers @nprmusic It’s dazzling. I love you sm Tay 😭 https://t.co/LBoINojM3U BUY LOML BUY THE ALCHEMY BUY FRESH OUT THE SLAMMER BUY THE SMALLEST MAN WHO EVER LIVED"
"1733","NPR review","2024-04-24 21:33:18.0","http://twitter.com/labyapologist/statuses/1783247870277128585","labyapologist","@taylorswift13 @annkpowers @nprmusic https://t.co/m1ff7WLUDU RATIO + I NEED A SUGAR DADDY"
"1734","NPR review","2024-04-24 21:30:48.0","http://twitter.com/savinswift/statuses/1783247244113990034","savinswift","LMFAOOOOO"
"1735","NPR review","2024-04-24 21:30:36.0","http://twitter.com/Jesus_2_3/statuses/1783247190564975051","Jesus_2_3","@taylorswift13 @annkpowers @nprmusic in reality she shouldn't be crying the 'tortured poet' is doin' fine. She's got loads of $$$, & that cult following. Just like the @realDonaldTrump i know @TaylorSappe who's not a sap like her. He's a righteous man. And my #Taylor runs a place called:☮️https://t.co/NYqgAzjIf2 https://t.co/0hNEiEBa2H"
"1736","NPR review","2024-04-24 21:30:34.0","http://twitter.com/AlliCSwiftie/statuses/1783247183455596901","AlliCSwiftie","@taylorswift13 @annkpowers @nprmusic We ADORE you Taylor! Thank you for trusting us with your feelings! 🤍"
